timestamp_ms,ax_g,ay_g,az_g
97392,-0.155,0.53,0.571
97402,-0.154,0.51,0.568
97412,-0.156,0.492,0.567
97422,-0.164,0.478,0.571
97432,-0.177,0.46,0.565
97442,-0.195,0.443,0.552
97452,-0.21,0.433,0.547
97462,-0.223,0.428,0.544
97472,-0.232,0.415,0.54
97482,-0.243,0.403,0.541
97492,-0.249,0.384,0.538
97502,-0.249,0.361,0.539
97512,-0.244,0.347,0.534
97522,-0.239,0.332,0.528
97532,-0.232,0.319,0.517
97542,-0.229,0.309,0.505
97552,-0.225,0.297,0.497
97562,-0.225,0.283,0.491
97572,-0.23,0.271,0.497
97582,-0.238,0.263,0.502
97592,-0.246,0.254,0.513
97602,-0.252,0.246,0.526
97612,-0.254,0.231,0.528
97622,-0.256,0.221,0.54
97632,-0.259,0.201,0.554
97642,-0.262,0.185,0.562
97652,-0.263,0.177,0.571
97662,-0.257,0.183,0.578
97672,-0.258,0.196,0.582
97682,-0.265,0.215,0.587
97692,-0.284,0.226,0.598
97702,-0.306,0.239,0.609
97712,-0.315,0.248,0.615
97722,-0.315,0.253,0.63
97732,-0.291,0.265,0.643
97742,-0.254,0.292,0.649
97752,-0.208,0.321,0.648
97762,-0.167,0.354,0.652
97772,-0.123,0.386,0.656
97782,-0.095,0.408,0.652
97792,-0.071,0.42,0.644
97802,-0.051,0.429,0.644
97812,-0.027,0.443,0.665
97822,-0.002,0.467,0.69
97832,0.033,0.503,0.693
97842,0.071,0.553,0.689
97852,0.11,0.596,0.672
97862,0.15,0.627,0.643
97872,0.178,0.636,0.615
97882,0.202,0.637,0.599
97892,0.226,0.64,0.599
97902,0.237,0.654,0.599
97912,0.244,0.683,0.594
97922,0.237,0.707,0.566
97932,0.229,0.721,0.524
97942,0.219,0.717,0.496
97952,0.222,0.699,0.465
97962,0.243,0.673,0.44
97972,0.243,0.673,0.44
97982,0.278,0.672,0.419
97992,0.342,0.705,0.446
98002,0.426,0.768,0.486
98012,0.51,0.85,0.51
98022,0.583,0.92,0.527
98032,0.635,0.978,0.516
98042,0.661,0.998,0.515
98052,0.665,0.989,0.529
98062,0.662,0.95,0.553
98072,0.656,0.889,0.596
98082,0.673,0.824,0.647
98092,0.7,0.755,0.705
98102,0.74,0.672,0.749
98112,0.784,0.58,0.781
98122,0.823,0.483,0.807
98132,0.866,0.393,0.818
98142,0.887,0.319,0.831
98152,0.905,0.258,0.85
98162,0.917,0.208,0.877
98172,0.923,0.17,0.895
98182,0.937,0.149,0.912
98192,0.947,0.146,0.915
98202,0.957,0.153,0.9
98212,0.961,0.176,0.879
98222,0.968,0.201,0.841
98232,0.966,0.228,0.794
98242,0.965,0.267,0.754
98252,0.964,0.309,0.723
