timestamp_ms,ax_g,ay_g,az_g
78007,-1.161,-0.263,0.115
78017,-1.202,-0.257,0.059
78027,-1.236,-0.224,0.024
78037,-1.253,-0.168,-0.012
78047,-1.262,-0.116,-0.075
78057,-1.288,-0.085,-0.147
78067,-1.329,-0.083,-0.196
78077,-1.37,-0.081,-0.228
78087,-1.41,-0.077,-0.224
78097,-1.45,-0.074,-0.2
78107,-1.476,-0.09,-0.161
78117,-1.484,-0.114,-0.121
78127,-1.482,-0.125,-0.112
78137,-1.489,-0.126,-0.146
78147,-1.502,-0.098,-0.211
78157,-1.522,-0.03,-0.303
78167,-1.554,0.035,-0.367
78177,-1.58,0.064,-0.356
78187,-1.577,0.05,-0.295
78197,-1.552,0.026,-0.245
78207,-1.518,0.014,-0.237
78217,-1.491,0.039,-0.252
78227,-1.463,0.104,-0.289
78237,-1.439,0.174,-0.335
78247,-1.413,0.219,-0.378
78257,-1.387,0.237,-0.394
78267,-1.354,0.215,-0.384
78277,-1.317,0.186,-0.354
78287,-1.281,0.182,-0.33
78297,-1.252,0.195,-0.306
78307,-1.219,0.228,-0.285
78317,-1.186,0.252,-0.269
78327,-1.169,0.253,-0.232
78337,-1.16,0.235,-0.182
78347,-1.146,0.203,-0.115
78357,-1.122,0.177,-0.029
78367,-1.096,0.155,0.073
78377,-1.078,0.122,0.176
78387,-1.055,0.081,0.249
78397,-1.041,0.05,0.293
78407,-1.036,0.045,0.31
78417,-1.031,0.057,0.329
78427,-1.011,0.078,0.378
78437,-0.979,0.108,0.434
78447,-0.91,0.165,0.465
78457,-0.821,0.218,0.479
78467,-0.762,0.23,0.526
78477,-0.746,0.201,0.569
78487,-0.737,0.201,0.569
78497,-0.716,0.167,0.603
78507,-0.681,0.132,0.61
78517,-0.622,0.115,0.615
78527,-0.586,0.099,0.6
78537,-0.494,0.121,0.556
78547,-0.453,0.124,0.534
78557,-0.461,0.105,0.535
78567,-0.499,0.094,0.545
78577,-0.558,0.091,0.531
78587,-0.603,0.098,0.507
78597,-0.64,0.119,0.482
78607,-0.673,0.144,0.468
78617,-0.687,0.165,0.472
78627,-0.676,0.179,0.513
78637,-0.634,0.165,0.593
78647,-0.597,0.111,0.685
78657,-0.583,0.048,0.753
78667,-0.584,-0.005,0.762
78677,-0.592,-0.002,0.718
78687,-0.596,0.062,0.658
78697,-0.57,0.166,0.638
78707,-0.513,0.257,0.656
78717,-0.444,0.265,0.744
78727,-0.361,0.199,0.846
78737,-0.279,0.097,0.926
78747,-0.203,0.002,0.955
78757,-0.146,-0.053,0.954
78767,-0.14,-0.058,0.954
78777,-0.169,-0.034,0.947
78787,-0.164,0.008,0.891
78797,-0.123,0.046,0.844
78807,-0.062,0.059,0.786
78817,0.024,0.026,0.767
78827,0.086,0.011,0.755
78837,0.115,-0.013,0.749
78847,0.152,-0.034,0.702
78857,0.169,-0.048,0.669
78867,0.128,-0.052,0.574
78877,0.074,-0.056,0.494
78887,0.02,-0.044,0.444
78897,-0.024,-0.045,0.411
78907,-0.043,-0.059,0.388
78917,-0.047,-0.089,0.38
78927,-0.063,-0.124,0.377
78937,-0.094,-0.135,0.363
78947,-0.105,-0.094,0.351
78957,-0.082,-0.012,0.323
78967,-0.039,0.079,0.268
78977,0.012,0.135,0.207
78987,0.025,0.13,0.199
78997,-0.027,0.068,0.234
79007,-0.093,0.017,0.281
79017,-0.139,-0.01,0.329
79027,-0.141,-0.018,0.353
79037,-0.107,-0.012,0.359
79047,-0.071,-0.016,0.378
79057,-0.072,-0.043,0.391
79067,-0.134,-0.099,0.386
79077,-0.273,-0.173,0.403
79087,-0.415,-0.229,0.441
79097,-0.519,-0.252,0.477
79107,-0.582,-0.263,0.511
79117,-0.589,-0.26,0.524
79127,-0.553,-0.246,0.527
79137,-0.52,-0.248,0.581
79147,-0.533,-0.291,0.675
79157,-0.584,-0.332,0.713
79167,-0.639,-0.329,0.648
79177,-0.628,-0.242,0.511
79187,-0.591,-0.186,0.456
79197,-0.543,-0.171,0.464
79207,-0.512,-0.199,0.52
79217,-0.518,-0.26,0.597
79227,-0.578,-0.355,0.713
79237,-0.678,-0.458,0.863
79247,-0.787,-0.502,0.909
79257,-0.809,-0.448,0.726
79267,-0.773,-0.329,0.506
79277,-0.674,-0.25,0.482
79287,-0.712,-0.121,0.354
79297,-0.772,-0.108,0.413
79307,-0.886,-0.218,0.62
79317,-1.022,-0.377,0.813
79327,-1.126,-0.499,0.906
79337,-1.181,-0.564,0.928
79347,-1.175,-0.541,0.823
79357,-1.12,-0.415,0.572
79367,-1.03,-0.236,0.336
79377,-0.97,-0.058,0.262
79387,-1.007,0.063,0.367
