timestamp_ms,ax_g,ay_g,az_g
1020,0.418,0.719,0.543
1030,0.427,0.726,0.543
1040,0.436,0.719,0.563
1050,0.44,0.725,0.567
1060,0.441,0.733,0.557
1070,0.438,0.746,0.556
1080,0.436,0.75,0.554
1090,0.441,0.744,0.55
1100,0.448,0.74,0.552
1110,0.452,0.731,0.558
1120,0.449,0.71,0.561
1130,0.441,0.707,0.565
1140,0.447,0.723,0.575
1150,0.458,0.735,0.583
1160,0.483,0.746,0.586
1170,0.494,0.713,0.592
1180,0.45,0.662,0.575
1190,0.435,0.676,0.58
1200,0.422,0.709,0.581
1210,0.42,0.735,0.578
1220,0.434,0.747,0.57
1230,0.44,0.734,0.575
1240,0.446,0.721,0.573
1250,0.444,0.725,0.568
1260,0.448,0.735,0.569
1270,0.456,0.759,0.566
1280,0.465,0.767,0.566
1290,0.473,0.764,0.572
1300,0.463,0.731,0.578
1310,0.468,0.717,0.58
1320,0.469,0.711,0.579
1330,0.451,0.697,0.58
1340,0.446,0.704,0.566
1350,0.461,0.681,0.567
1360,0.476,0.642,0.578
1370,0.478,0.67,0.579
1380,0.464,0.702,0.58
1390,0.466,0.723,0.588
1400,0.458,0.726,0.586
1410,0.426,0.724,0.607
1420,0.426,0.729,0.594
1430,0.42,0.729,0.594
1440,0.415,0.729,0.593
1450,0.409,0.716,0.579
1460,0.418,0.721,0.598
1470,0.436,0.75,0.595
1480,0.47,0.732,0.588
1490,0.51,0.707,0.591
1500,0.487,0.707,0.586
1510,0.445,0.735,0.587
1520,0.412,0.766,0.583
1530,0.403,0.772,0.59
1540,0.463,0.826,0.6
1550,0.478,0.753,0.605
1560,0.53,0.65,0.566
1570,0.523,0.562,0.6
1580,0.484,0.585,0.612
1590,0.413,0.666,0.595
1600,0.385,0.707,0.595
1610,0.395,0.68,0.611
1620,0.418,0.641,0.619
1630,0.449,0.626,0.611
1640,0.452,0.657,0.595
1650,0.468,0.691,0.594
1660,0.495,0.72,0.6
1670,0.505,0.727,0.623
1680,0.503,0.753,0.614
1690,0.523,0.738,0.608
1700,0.509,0.719,0.619
1710,0.481,0.719,0.645
1720,0.445,0.712,0.652
1730,0.44,0.727,0.649
1740,0.474,0.733,0.645
1750,0.509,0.695,0.651
1760,0.53,0.701,0.641
1770,0.517,0.709,0.636
1780,0.443,0.686,0.608
1790,0.384,0.683,0.531
1800,0.446,0.648,0.557
1810,0.441,0.675,0.623
1820,0.457,0.733,0.656
1830,0.453,0.713,0.666
1840,0.531,0.607,0.706
1850,0.499,0.581,0.656
1860,0.464,0.589,0.625
1870,0.417,0.591,0.598
1880,0.394,0.63,0.574
1890,0.378,0.674,0.556
1900,0.371,0.724,0.536
1910,0.375,0.745,0.54
1920,0.363,0.719,0.534
