timestamp_ms,ax_g,ay_g,az_g
991,-0.002,0.98,-0.09
1001,0.002,1.007,-0.093
1011,-0.001,1.005,-0.094
1021,0.021,1.011,-0.102
1031,0.004,1.005,-0.075
1041,0.001,1.015,-0.08
1051,-0.006,1.016,-0.078
1061,-0.024,1.017,-0.08
1071,-0.027,1.037,-0.081
1081,-0.018,1.053,-0.078
1091,-0.005,1.061,-0.082
1101,0.018,1.057,-0.086
1111,0.051,1.043,-0.079
1121,0.076,1.022,-0.066
1131,0.084,0.986,-0.06
1141,0.06,0.961,-0.056
1151,0.046,0.953,-0.055
1161,0.012,0.943,-0.043
1171,0.003,0.965,-0.036
1181,0.009,1.034,-0.03
1191,-0.017,1.039,-0.013
1201,-0.015,1.045,-0.029
1211,0.031,1.068,-0.032
1221,0.055,1.061,-0.039
1231,0.07,1.054,-0.045
1241,0.068,1.044,-0.034
1251,0.069,1.048,-0.024
1261,0.073,1.061,-0.033
1271,0.071,1.08,-0.037
1281,0.082,1.086,-0.033
1291,0.092,1.084,-0.014
1301,0.113,1.082,0.0
1311,0.135,1.081,0.007
1321,0.162,1.072,0.019
1331,0.196,1.075,0.035
1341,0.242,1.089,0.047
1351,0.301,1.113,0.053
1361,0.35,1.141,0.063
1371,0.392,1.156,0.071
1381,0.412,1.151,0.062
1391,0.417,1.129,0.057
1401,0.416,1.095,0.06
1411,0.406,1.051,0.059
1421,0.384,0.995,0.057
1431,0.353,0.943,0.054
1441,0.316,0.898,0.06
1451,0.274,0.855,0.078
1461,0.237,0.816,0.096
1471,0.221,0.768,0.124
1481,0.211,0.77,0.124
1492,0.174,0.707,0.164
1502,0.161,0.687,0.19
1512,0.136,0.675,0.203
1522,0.099,0.673,0.214
1532,0.057,0.683,0.224
1542,0.024,0.702,0.226
1552,-0.009,0.735,0.233
1562,-0.047,0.777,0.245
1572,-0.047,0.777,0.245
1582,-0.071,0.82,0.232
1592,-0.086,0.855,0.253
1602,-0.105,0.894,0.255
1612,-0.121,0.935,0.266
1622,-0.129,0.983,0.239
1632,-0.142,1.028,0.24
1642,-0.159,1.035,0.248
1652,-0.177,1.019,0.257
1662,-0.177,0.973,0.293
1672,-0.16,0.912,0.338
1682,-0.126,0.859,0.396
1692,-0.069,0.837,0.447
1702,-0.004,0.826,0.464
1712,0.048,0.818,0.483
1722,0.079,0.813,0.489
1732,0.116,0.819,0.493
1742,0.152,0.845,0.482
1752,0.177,0.885,0.492
1762,0.209,0.926,0.514
1772,0.245,0.951,0.525
1782,0.287,0.963,0.522
1792,0.317,0.975,0.5
1802,0.339,0.967,0.476
1812,0.356,0.955,0.451
1822,0.373,0.96,0.444
1832,0.394,0.965,0.457
1842,0.417,0.947,0.473
1852,0.444,0.9,0.474
1862,0.473,0.836,0.472
1872,0.505,0.788,0.474
1882,0.537,0.752,0.473
1892,0.564,0.731,0.47
1902,0.583,0.717,0.464
1912,0.587,0.748,0.455
1922,0.586,0.77,0.444
1932,0.582,0.82,0.443
1942,0.58,0.879,0.446
1952,0.58,0.923,0.431
1962,0.588,0.922,0.396
1972,0.592,0.919,0.361
1982,0.592,0.933,0.358
1992,0.605,0.954,0.373
2002,0.628,0.956,0.414
2012,0.65,0.93,0.453
2022,0.672,0.886,0.486
2032,0.677,0.867,0.488
2042,0.661,0.87,0.482
2052,0.642,0.864,0.509
2062,0.629,0.811,0.533
2072,0.626,0.735,0.54
2082,0.636,0.672,0.527
2092,0.636,0.632,0.513
2102,0.635,0.606,0.508
2112,0.636,0.587,0.51
2122,0.639,0.582,0.516
2132,0.638,0.585,0.514
2142,0.633,0.598,0.516
2152,0.624,0.617,0.512
2162,0.611,0.65,0.505
2172,0.6,0.688,0.492
2182,0.587,0.734,0.482
2192,0.576,0.782,0.468
2202,0.557,0.817,0.45
2212,0.539,0.84,0.439
2222,0.528,0.861,0.425
2232,0.51,0.877,0.418
2242,0.493,0.89,0.408
2252,0.477,0.895,0.4
2262,0.469,0.892,0.388
2272,0.467,0.887,0.382
2282,0.469,0.878,0.373
2292,0.477,0.869,0.372
2302,0.488,0.862,0.368
2312,0.499,0.854,0.37
2322,0.506,0.847,0.37
2332,0.514,0.838,0.375
2342,0.52,0.822,0.382
2352,0.528,0.805,0.384
2362,0.536,0.795,0.393
2372,0.544,0.79,0.402
2382,0.557,0.778,0.417
2392,0.571,0.768,0.442
2402,0.59,0.755,0.472
2412,0.611,0.747,0.503
2422,0.636,0.75,0.536
2432,0.647,0.749,0.563
2442,0.65,0.75,0.583
2452,0.648,0.752,0.594
