timestamp_ms,ax_g,ay_g,az_g
1048,0.137,-0.037,0.967
1058,0.153,-0.021,1.0
1068,0.16,-0.011,1.027
1078,0.169,-0.004,1.04
1088,0.178,0.005,1.055
1098,0.193,0.006,1.077
1108,0.21,0.011,1.086
1118,0.223,0.019,1.092
1128,0.235,0.026,1.091
1138,0.239,0.042,1.084
1148,0.241,0.059,1.079
1158,0.244,0.084,1.077
1168,0.25,0.122,1.07
1178,0.255,0.177,1.061
1188,0.259,0.234,1.049
1198,0.262,0.288,1.04
1208,0.26,0.329,1.031
1218,0.249,0.364,1.004
1228,0.243,0.417,0.989
1238,0.248,0.485,0.994
1248,0.257,0.538,1.036
1258,0.262,0.559,1.082
1268,0.261,0.558,1.095
1278,0.263,0.56,1.087
1288,0.272,0.566,1.088
1298,0.287,0.549,1.079
1308,0.302,0.493,1.066
1318,0.312,0.415,1.044
1328,0.314,0.343,1.033
1338,0.309,0.29,1.025
1348,0.3,0.268,1.005
1358,0.29,0.271,0.968
1368,0.271,0.307,0.926
1378,0.259,0.37,0.906
1388,0.251,0.444,0.891
1398,0.24,0.507,0.871
1408,0.232,0.565,0.857
1418,0.225,0.601,0.845
1428,0.219,0.607,0.836
1438,0.215,0.593,0.832
1448,0.212,0.579,0.836
1458,0.203,0.562,0.832
1468,0.199,0.553,0.828
1478,0.195,0.552,0.833
1488,0.197,0.555,0.833
1498,0.2,0.552,0.825
1508,0.202,0.531,0.824
1518,0.206,0.513,0.835
1528,0.211,0.489,0.853
1538,0.218,0.47,0.873
1548,0.221,0.444,0.883
1558,0.217,0.426,0.882
1568,0.217,0.418,0.889
1578,0.22,0.418,0.905
1588,0.221,0.411,0.911
1598,0.225,0.403,0.914
1608,0.232,0.396,0.917
1618,0.241,0.389,0.929
1628,0.25,0.375,0.936
1638,0.257,0.355,0.94
1648,0.257,0.331,0.94
1658,0.255,0.308,0.941
1668,0.247,0.292,0.938
1678,0.242,0.287,0.932
1688,0.234,0.291,0.924
1698,0.229,0.304,0.919
1708,0.213,0.311,0.922
1718,0.216,0.311,0.922
1728,0.211,0.32,0.915
1738,0.212,0.326,0.913
1748,0.211,0.325,0.917
1758,0.214,0.331,0.918
1768,0.206,0.333,0.921
1778,0.21,0.335,0.911
1788,0.219,0.338,0.906
1798,0.218,0.347,0.912
1808,0.208,0.352,0.916
1818,0.198,0.358,0.917
1828,0.186,0.356,0.92
1838,0.181,0.357,0.924
1848,0.184,0.353,0.931
