timestamp_ms,ax_g,ay_g,az_g
971,-0.676,-0.234,0.423
981,-0.733,-0.241,0.426
991,-0.769,-0.239,0.42
1001,-0.783,-0.245,0.437
1011,-0.789,-0.263,0.469
1021,-0.791,-0.287,0.484
1031,-0.783,-0.311,0.489
1041,-0.779,-0.339,0.487
1051,-0.775,-0.367,0.495
1061,-0.771,-0.385,0.5
1071,-0.772,-0.407,0.509
1081,-0.779,-0.412,0.514
1091,-0.785,-0.402,0.508
1101,-0.79,-0.379,0.489
1111,-0.793,-0.341,0.468
1121,-0.784,-0.298,0.448
1131,-0.779,-0.276,0.438
1141,-0.781,-0.283,0.432
1151,-0.811,-0.32,0.441
1161,-0.838,-0.36,0.453
1171,-0.852,-0.379,0.46
1181,-0.858,-0.383,0.458
1191,-0.853,-0.369,0.46
1201,-0.845,-0.34,0.454
1211,-0.841,-0.301,0.445
1221,-0.834,-0.259,0.439
1231,-0.831,-0.226,0.442
1241,-0.825,-0.214,0.46
1251,-0.831,-0.227,0.467
1261,-0.84,-0.252,0.46
1271,-0.844,-0.279,0.443
1281,-0.85,-0.297,0.433
1291,-0.842,-0.305,0.446
1301,-0.826,-0.318,0.458
1311,-0.814,-0.325,0.466
1321,-0.809,-0.324,0.465
1331,-0.806,-0.318,0.461
1341,-0.814,-0.305,0.465
1351,-0.827,-0.293,0.473
1361,-0.838,-0.297,0.494
1371,-0.851,-0.322,0.514
1381,-0.847,-0.332,0.515
1391,-0.84,-0.346,0.505
1401,-0.834,-0.351,0.496
1411,-0.832,-0.347,0.476
1421,-0.834,-0.34,0.463
1431,-0.84,-0.328,0.444
1441,-0.842,-0.321,0.415
1451,-0.849,-0.303,0.395
1461,-0.861,-0.285,0.398
1471,-0.88,-0.267,0.411
1481,-0.904,-0.257,0.426
1491,-0.928,-0.275,0.438
1501,-0.951,-0.335,0.463
1511,-0.957,-0.408,0.493
1521,-0.944,-0.461,0.514
1531,-0.928,-0.493,0.52
1541,-0.915,-0.485,0.52
1551,-0.887,-0.472,0.529
1561,-0.861,-0.461,0.531
1571,-0.838,-0.459,0.556
1581,-0.84,-0.459,0.564
1591,-0.83,-0.466,0.57
1601,-0.818,-0.479,0.568
1611,-0.801,-0.473,0.57
1621,-0.773,-0.457,0.568
1631,-0.74,-0.43,0.564
1641,-0.709,-0.426,0.552
1651,-0.691,-0.439,0.549
1661,-0.678,-0.465,0.557
1671,-0.671,-0.489,0.577
1681,-0.663,-0.519,0.609
1691,-0.65,-0.549,0.651
1701,-0.644,-0.563,0.68
1711,-0.619,-0.551,0.653
1721,-0.574,-0.526,0.609
1731,-0.535,-0.512,0.582
1741,-0.493,-0.507,0.572
1751,-0.466,-0.518,0.593
1761,-0.459,-0.556,0.634
1771,-0.462,-0.604,0.674
1781,-0.458,-0.646,0.702
1791,-0.454,-0.678,0.723
1801,-0.446,-0.683,0.694
1811,-0.42,-0.666,0.628
1821,-0.396,-0.648,0.558
1831,-0.365,-0.625,0.5
1841,-0.35,-0.62,0.479
1851,-0.359,-0.639,0.502
1861,-0.383,-0.652,0.535
1871,-0.405,-0.634,0.558
1881,-0.424,-0.597,0.55
1891,-0.437,-0.556,0.518
1901,-0.444,-0.525,0.483
1911,-0.447,-0.509,0.433
1921,-0.457,-0.507,0.37
1931,-0.474,-0.506,0.315
1941,-0.497,-0.485,0.271
1951,-0.523,-0.424,0.236
1961,-0.563,-0.326,0.191
1971,-0.61,-0.221,0.159
1981,-0.68,-0.154,0.159
1991,-0.762,-0.141,0.165
2001,-0.846,-0.175,0.162
2011,-0.914,-0.238,0.157
2021,-0.96,-0.313,0.149
2031,-0.977,-0.383,0.167
2041,-0.974,-0.427,0.216
2051,-0.963,-0.448,0.264
2061,-0.944,-0.471,0.286
2071,-0.937,-0.485,0.273
2081,-0.937,-0.485,0.228
2091,-0.942,-0.49,0.18
2101,-0.956,-0.491,0.143
2111,-0.974,-0.475,0.134
2121,-0.994,-0.453,0.157
2131,-1.01,-0.451,0.181
2141,-1.022,-0.459,0.187
2151,-1.041,-0.457,0.174
2161,-1.061,-0.431,0.156
2171,-1.077,-0.392,0.145
2181,-1.11,-0.34,0.128
2191,-1.146,-0.293,0.1
2201,-1.192,-0.276,0.098
2211,-1.233,-0.311,0.121
2221,-1.25,-0.377,0.158
2231,-1.251,-0.453,0.188
2241,-1.231,-0.508,0.188
2251,-1.215,-0.508,0.16
2261,-1.202,-0.443,0.118
2271,-1.208,-0.35,0.061
2281,-1.225,-0.261,0.004
2291,-1.25,-0.173,-0.035
2301,-1.279,-0.124,-0.069
2311,-1.315,-0.113,-0.095
2321,-1.367,-0.133,-0.126
2331,-1.419,-0.147,-0.139
2341,-1.447,-0.142,-0.127
2351,-1.439,-0.111,-0.125
2361,-1.418,-0.079,-0.137
2371,-1.385,-0.045,-0.162
2381,-1.346,-0.009,-0.247
2391,-1.361,0.019,-0.369
2401,-1.44,0.026,-0.455
2411,-1.528,0.01,-0.48
2421,-1.579,-0.019,-0.418
2431,-1.582,-0.041,-0.335
2441,-1.531,-0.041,-0.278
2451,-1.494,-0.009,-0.281
2461,-1.494,0.056,-0.343
2471,-1.494,0.056,-0.343
2481,-1.545,0.146,-0.386
2491,-1.608,0.204,-0.449
2501,-1.671,0.23,-0.524
2511,-1.689,0.271,-0.566
2521,-1.725,0.235,-0.604
2531,-1.766,0.025,-0.531
2541,-1.766,-0.186,-0.307
2551,-1.752,-0.255,-0.091
2561,-1.702,-0.238,-0.01
2571,-1.649,-0.126,-0.089
2581,-1.564,0.036,-0.183
2591,-1.468,0.188,-0.213
2601,-1.432,0.246,-0.093
2611,-1.403,0.256,0.061
2621,-1.377,0.262,0.148
2631,-1.352,0.281,0.164
2641,-1.334,0.328,0.147
2651,-1.31,0.403,0.138
2661,-1.274,0.465,0.154
2671,-1.231,0.49,0.225
2681,-1.191,0.474,0.31
2691,-1.16,0.439,0.357
2701,-1.136,0.415,0.38
2711,-1.128,0.386,0.413
2721,-1.109,0.355,0.46
2731,-1.054,0.344,0.487
2741,-0.973,0.336,0.535
2751,-0.878,0.326,0.591
2761,-0.802,0.295,0.61
2771,-0.742,0.268,0.578
2781,-0.704,0.239,0.535
2791,-0.684,0.206,0.515
2801,-0.652,0.171,0.524
2811,-0.601,0.137,0.547
2821,-0.528,0.114,0.555
2831,-0.445,0.099,0.538
2841,-0.334,0.101,0.514
2851,-0.253,0.075,0.498
2861,-0.21,0.029,0.489
2871,-0.199,-0.021,0.488
2881,-0.206,-0.052,0.467
2891,-0.221,-0.049,0.432
2901,-0.228,-0.002,0.405
2911,-0.217,0.074,0.412
2921,-0.18,0.127,0.428
2931,-0.122,0.134,0.425
2941,-0.062,0.095,0.398
2951,-0.01,0.03,0.344
2961,0.011,-0.046,0.317
2971,0.001,-0.1,0.332
2981,-0.039,-0.13,0.375
2991,-0.078,-0.163,0.424
3001,-0.08,-0.193,0.447
3011,-0.04,-0.228,0.451
3021,0.013,-0.259,0.441
3031,0.03,-0.285,0.43
3041,0.007,-0.264,0.419
3051,-0.038,-0.253,0.456
3061,-0.085,-0.245,0.498
3071,-0.123,-0.239,0.544
3081,-0.158,-0.26,0.614
3091,-0.168,-0.28,0.629
3101,-0.146,-0.268,0.585
3111,-0.107,-0.256,0.535
3121,-0.072,-0.224,0.504
3131,-0.082,-0.156,0.497
3141,-0.155,-0.078,0.495
3151,-0.299,-0.064,0.554
3161,-0.457,-0.081,0.597
3171,-0.59,-0.088,0.608
3181,-0.679,-0.111,0.618
3191,-0.723,-0.123,0.569
3201,-0.677,-0.097,0.491
3211,-0.546,-0.057,0.465
3221,-0.431,-0.044,0.558
3231,-0.455,-0.072,0.678
3241,-0.607,-0.08,0.704
3251,-0.78,-0.082,0.665
3261,-0.867,-0.051,0.569
3271,-0.829,-0.01,0.5
3281,-0.796,-0.037,0.597
3291,-0.803,-0.069,0.68
3301,-0.863,-0.065,0.709
3311,-0.94,-0.056,0.703
3321,-0.971,-0.038,0.669
3331,-0.971,-0.019,0.665
3341,-0.966,0.018,0.673
3351,-0.949,0.086,0.685
3361,-0.97,0.122,0.725
3371,-1.022,0.112,0.75
3381,-1.049,0.11,0.74
3391,-1.011,0.128,0.688
3401,-0.918,0.14,0.642
3411,-0.918,0.14,0.642
3421,-0.851,0.129,0.645
3431,-0.872,0.094,0.722
3441,-0.999,0.055,0.831
3451,-1.136,0.07,0.838
3461,-1.171,0.108,0.791
3471,-1.064,0.173,0.639
3481,-0.881,0.212,0.543
3491,-0.741,0.162,0.608
3501,-0.695,0.058,0.756
3511,-0.752,-0.015,0.819
3521,-0.872,-0.028,0.77
3531,-0.989,-0.026,0.693
3541,-1.053,-0.005,0.622
3551,-1.069,0.058,0.596
3561,-1.016,0.133,0.57
3571,-0.96,0.177,0.561
3581,-0.96,0.161,0.627
3591,-0.994,0.104,0.693
3601,-1.064,0.044,0.712
3611,-1.158,0.006,0.694
3621,-1.24,0.001,0.68
3631,-1.3,0.034,0.675
3641,-1.304,0.116,0.651
3651,-1.225,0.213,0.582
3661,-1.064,0.322,0.482
3671,-0.944,0.355,0.514
3681,-0.939,0.247,0.655
3691,-0.998,0.104,0.709
3701,-1.096,0.01,0.643
3711,-1.194,-0.016,0.53
3721,-1.287,-0.004,0.45
3731,-1.378,0.025,0.431
3741,-1.436,0.064,0.487
3751,-1.421,0.132,0.524
3761,-1.331,0.211,0.504
3771,-1.22,0.261,0.459
3781,-1.138,0.219,0.453
3791,-1.115,0.128,0.454
3801,-1.157,0.068,0.453
3811,-1.221,0.041,0.437
3821,-1.275,0.034,0.396
3831,-1.286,0.065,0.337
3841,-1.252,0.144,0.273
3851,-1.195,0.21,0.243
3861,-1.119,0.208,0.27
3871,-1.077,0.101,0.315
3881,-1.099,-0.113,0.34
3891,-1.169,-0.364,0.394
3901,-1.226,-0.553,0.395
3911,-1.262,-0.606,0.292
3921,-1.373,-0.41,0.197
3931,-1.619,-0.178,0.447
3941,-1.615,-0.333,1.009
3951,-1.381,-0.452,0.978
3961,-1.141,-0.47,0.605
3971,-0.991,-0.473,0.242
3981,-0.934,-0.442,0.01
3991,-1.203,-0.534,0.297
4001,-1.46,-0.557,1.13
4011,-1.36,-0.54,1.235
4021,-1.287,-0.679,0.781
4031,-1.058,-0.566,0.239
4041,-0.822,-0.407,0.307
4051,-0.629,-0.334,0.647
4061,-0.543,-0.374,0.678
4071,-0.515,-0.386,0.372
4081,-0.628,-0.408,0.131
4091,-0.812,-0.501,0.123
4101,-0.905,-0.584,0.151
4111,-0.94,-0.589,0.095
4121,-0.935,-0.501,-0.098
4131,-0.894,-0.291,-0.381
4141,-0.845,-0.047,-0.466
4151,-0.867,0.052,-0.201
4161,-0.871,0.055,0.072
4171,-0.858,-0.002,0.121
4181,-0.87,-0.154,0.019
4191,-0.915,-0.363,-0.081
4201,-0.981,-0.551,-0.094
4211,-1.076,-0.644,-0.04
4221,-1.196,-0.621,-0.004
4231,-1.317,-0.529,-0.037
4241,-1.394,-0.407,-0.088
4251,-1.387,-0.301,-0.103
4261,-1.324,-0.234,-0.098
4271,-1.245,-0.231,-0.112
4281,-1.221,-0.283,-0.162
4291,-1.259,-0.37,-0.215
4301,-1.349,-0.447,-0.223
4311,-1.434,-0.475,-0.193
4321,-1.469,-0.451,-0.156
4331,-1.44,-0.375,-0.15
4341,-1.388,-0.286,-0.181
4351,-1.388,-0.286,-0.197
4361,-1.345,-0.206,-0.208
4371,-1.337,-0.165,-0.188
4381,-1.38,-0.172,-0.149
4391,-1.459,-0.221,-0.106
4401,-1.531,-0.273,-0.068
4411,-1.555,-0.319,-0.053
4421,-1.545,-0.323,-0.033
4431,-1.495,-0.3,-0.017
4441,-1.436,-0.258,0.001
4451,-1.393,-0.202,0.023
4461,-1.378,-0.165,0.06
4471,-1.383,-0.179,0.129
4481,-1.397,-0.224,0.204
4491,-1.415,-0.287,0.247
