timestamp_ms,ax_g,ay_g,az_g
993,0.442,0.824,0.357
1003,0.446,0.836,0.358
1013,0.445,0.847,0.362
1023,0.477,0.886,0.361
1033,0.457,0.875,0.374
1043,0.438,0.887,0.355
1053,0.427,0.915,0.364
1063,0.427,0.919,0.371
1073,0.41,0.947,0.333
1083,0.393,0.9,0.354
1093,0.418,0.862,0.373
1103,0.487,0.84,0.38
1113,0.518,0.855,0.384
1123,0.497,0.787,0.42
1133,0.573,0.837,0.422
1143,0.568,0.8,0.434
1153,0.594,0.813,0.415
1163,0.515,0.781,0.41
1173,0.453,0.787,0.426
1183,0.415,0.832,0.429
1193,0.399,0.879,0.434
1203,0.399,0.879,0.434
1213,0.403,0.89,0.415
1223,0.42,0.875,0.423
1233,0.438,0.864,0.431
1243,0.472,0.845,0.439
1253,0.486,0.84,0.466
1263,0.48,0.841,0.474
1273,0.478,0.851,0.472
1283,0.47,0.872,0.475
1293,0.453,0.868,0.479
1303,0.434,0.852,0.479
1313,0.417,0.835,0.48
1323,0.414,0.83,0.495
1333,0.405,0.828,0.504
1343,0.4,0.821,0.503
1353,0.406,0.807,0.506
1363,0.416,0.8,0.517
1373,0.426,0.794,0.53
1383,0.435,0.789,0.534
1393,0.437,0.795,0.549
1403,0.44,0.795,0.566
1413,0.436,0.789,0.573
1423,0.428,0.773,0.585
1433,0.426,0.754,0.598
1443,0.417,0.731,0.609
1453,0.409,0.715,0.597
1463,0.406,0.719,0.592
1473,0.404,0.734,0.598
1483,0.398,0.748,0.61
1493,0.382,0.743,0.627
1503,0.36,0.717,0.648
1513,0.332,0.672,0.668
1523,0.293,0.666,0.656
1533,0.279,0.617,0.683
1543,0.321,0.572,0.734
1553,0.351,0.515,0.767
1563,0.371,0.443,0.772
1573,0.386,0.377,0.793
1583,0.386,0.36,0.772
1593,0.378,0.367,0.777
1603,0.357,0.374,0.8
1613,0.319,0.362,0.815
1623,0.282,0.361,0.816
1633,0.247,0.379,0.816
1643,0.194,0.345,0.874
1653,0.217,0.363,0.887
1663,0.229,0.345,0.864
1673,0.25,0.329,0.844
1683,0.28,0.3,0.856
1693,0.31,0.277,0.869
1703,0.321,0.257,0.863
1713,0.329,0.238,0.871
1723,0.339,0.228,0.888
1733,0.329,0.245,0.886
1743,0.32,0.264,0.896
1753,0.315,0.272,0.901
1763,0.311,0.263,0.91
1773,0.317,0.255,0.919
1783,0.328,0.252,0.921
1793,0.341,0.247,0.936
1803,0.354,0.226,0.945
1813,0.361,0.2,0.966
1823,0.359,0.193,0.955
1833,0.358,0.191,0.953
1843,0.356,0.195,0.955
1853,0.352,0.199,0.959
1863,0.338,0.213,0.945
1873,0.335,0.226,0.945
1883,0.33,0.239,0.938
1893,0.33,0.244,0.934
1903,0.33,0.23,0.94
1913,0.33,0.209,0.951
1923,0.325,0.206,0.937
1933,0.316,0.204,0.927
1943,0.311,0.203,0.922
1953,0.304,0.19,0.918
1963,0.29,0.178,0.906
1973,0.282,0.179,0.9
1983,0.278,0.189,0.893
1994,0.275,0.199,0.899
2004,0.269,0.202,0.901
2014,0.263,0.207,0.906
2024,0.263,0.195,0.91
2034,0.268,0.176,0.915
2044,0.277,0.151,0.905
2054,0.283,0.127,0.904
2064,0.293,0.099,0.905
2074,0.295,0.079,0.906
2084,0.3,0.058,0.904
2094,0.307,0.044,0.901
2104,0.309,0.048,0.899
2114,0.3,0.076,0.888
2124,0.297,0.116,0.879
2134,0.299,0.163,0.888
2144,0.309,0.208,0.895
2154,0.33,0.237,0.911
2164,0.355,0.253,0.908
2174,0.38,0.248,0.916
2184,0.407,0.233,0.935
2194,0.432,0.222,0.951
2204,0.448,0.212,0.956
2214,0.449,0.203,0.963
2224,0.444,0.196,0.976
2234,0.432,0.194,0.992
2244,0.414,0.195,1.003
2254,0.399,0.21,1.011
2264,0.384,0.23,1.003
2274,0.384,0.23,1.003
2284,0.369,0.248,0.988
2294,0.352,0.262,0.946
2304,0.343,0.268,0.938
2314,0.34,0.266,0.933
2324,0.331,0.253,0.921
2334,0.34,0.229,0.912
2344,0.348,0.207,0.923
2354,0.355,0.182,0.923
2364,0.361,0.155,0.939
2374,0.361,0.143,0.935
2384,0.363,0.142,0.942
2394,0.362,0.138,0.924
2404,0.363,0.142,0.913
2414,0.368,0.14,0.9
2424,0.375,0.12,0.899
2434,0.384,0.092,0.896
2444,0.391,0.059,0.895
2454,0.401,0.027,0.908
2464,0.417,0.003,0.909
2474,0.429,-0.012,0.908
2484,0.439,-0.022,0.91
2494,0.446,-0.032,0.916
2504,0.45,-0.04,0.923
2514,0.444,-0.072,0.879
2524,0.514,-0.114,0.954
2534,0.56,-0.174,0.944
2544,0.529,-0.098,0.873
2554,0.447,0.138,0.641
2564,0.475,0.228,0.804
2574,0.542,0.166,0.891
2584,0.516,0.015,0.926
2594,0.472,-0.129,0.94
2604,0.429,-0.11,0.948
2614,0.371,-0.018,0.937
2624,0.348,0.047,0.917
2634,0.363,0.109,0.888
2644,0.38,0.127,0.868
2654,0.396,0.131,0.855
2664,0.425,0.129,0.883
2674,0.454,0.113,0.894
2684,0.479,0.078,0.898
2694,0.492,0.06,0.913
2704,0.473,0.059,0.909
2714,0.425,0.082,0.908
2724,0.41,0.103,0.903
2734,0.414,0.131,0.911
2744,0.416,0.144,0.923
2754,0.436,0.143,0.922
2764,0.453,0.111,0.91
2774,0.472,0.051,0.92
2784,0.478,0.017,0.911
2794,0.472,-0.023,0.918
2804,0.458,-0.057,0.92
2814,0.437,-0.098,0.916
2824,0.424,-0.122,0.913
2834,0.411,-0.12,0.919
2844,0.397,-0.09,0.914
2854,0.387,-0.071,0.903
2864,0.397,-0.051,0.897
2874,0.41,-0.018,0.89
2884,0.417,0.016,0.888
2894,0.413,0.007,0.895
2904,0.434,0.004,0.903
2914,0.448,0.003,0.908
2924,0.437,0.003,0.912
2934,0.42,-0.008,0.913
2944,0.401,-0.016,0.906
2954,0.395,-0.014,0.905
2964,0.389,-0.008,0.906
2974,0.373,-0.003,0.908
2984,0.358,-0.006,0.921
2994,0.34,-0.006,0.921
3004,0.326,0.004,0.924
3014,0.336,0.13,0.964
3024,0.324,0.106,0.908
3034,0.372,-0.054,1.306
3044,0.439,-0.081,0.991
3054,0.496,-0.059,0.93
3064,0.53,-0.007,0.903
